# Mf af A2220 A2221 phi2220 phi2221 logL logPrior
5.129485659874174530e+01 7.963423591693309378e-01 8.343513325606012998e+00 1.309557580081709638e+01 5.304968453992291444e+00 2.196003783023799283e+00 1.969267108484827986e+04 0.000000000000000000e+00
8.973288817730077938e+01 6.071886376302361166e-01 1.353517696570821549e+00 3.909915777460276409e+00 2.512510334262535672e+00 5.193360845536665327e-01 1.969291586570191066e+04 0.000000000000000000e+00
9.679385724309264560e+01 8.041272877026870436e-01 4.542323480982630279e+00 1.726907966352041690e+00 3.075352263643323703e+00 1.277402553431068455e+00 1.969351018891676722e+04 0.000000000000000000e+00
5.612658514885162475e+01 8.506267941343722550e-01 6.169872461584388290e+00 7.546472106710166550e+00 5.428595101660265598e+00 2.373766808607617573e+00 1.969453309746153900e+04 0.000000000000000000e+00
6.743921309171744838e+01 9.536104451074779442e-01 3.751383774225109491e+00 5.572614706995214995e+00 4.388227182828829953e+00 1.348955743316961886e-01 1.969496071735821897e+04 0.000000000000000000e+00
8.863109183877969599e+01 8.064965184428389833e-01 1.633916272325574237e+00 8.527392114534125156e+00 3.447347322446302265e+00 2.070769690944588071e+00 1.969622279262008306e+04 0.000000000000000000e+00
6.080626414541419678e+01 3.151296721987412175e-01 9.250402913560609730e-02 5.583752649200762086e+00 3.914083214184293169e+00 2.008229070613174461e+00 1.969668192483696839e+04 0.000000000000000000e+00
6.191994734124884303e+01 4.520317470205975074e-01 1.364940968241557684e+01 1.227882115704464816e+01 1.796095193611174423e+00 5.304968804605446842e+00 1.969673043139904985e+04 0.000000000000000000e+00
6.386056214770716366e+01 5.773593497421093401e-01 1.256854400836758145e+01 1.374190372487286282e+01 1.545322737989954343e+00 5.263511725755630088e+00 1.969993544911827848e+04 0.000000000000000000e+00
7.527979796495814924e+01 6.110725715693872129e-01 9.189669821429324870e-02 2.733337156415098779e+00 3.324003405343646522e-02 1.750807775826966450e+00 1.969994225108379760e+04 0.000000000000000000e+00
7.287973040881490761e+01 5.140339106075549891e-01 3.608788523532654224e+00 6.784872042096156797e+00 2.236705478071391529e+00 2.460324860234370359e+00 1.970297584084256596e+04 0.000000000000000000e+00
8.974274281879003468e+01 5.262047493023659372e-01 3.197609683665854519e+00 1.166005526543074877e+00 2.794254080709074106e+00 3.054722602353535432e+00 1.970367088358434557e+04 0.000000000000000000e+00
6.232961182239095876e+01 5.935068407802926993e-01 1.056825498217159209e+00 2.548911051058531108e+00 3.996632128487812574e-01 1.420768128124820506e-01 1.970398809446930682e+04 0.000000000000000000e+00
5.177745470409044515e+01 5.539856445836175425e-01 5.087121614310509798e+00 8.076557548526018593e+00 4.134767445735284541e-01 2.187605121711824641e+00 1.970521658295844827e+04 0.000000000000000000e+00
6.488157153393500209e+01 6.261251816458965891e-01 8.912005814949374161e-01 4.244091560492480930e+00 1.116506943244426120e+00 4.263429009631705124e-01 1.970553692633305036e+04 0.000000000000000000e+00
7.864633486510659566e+01 9.185296346636242504e-01 4.630388320697155780e-01 5.184862896371627450e+00 2.613418093612295490e+00 9.356412130482492095e-01 1.970591737288541481e+04 0.000000000000000000e+00
8.035821375315707371e+01 6.703266226064381605e-01 3.829589416977273508e+00 5.541837930446898319e+00 2.544161547208340313e+00 2.090469878286670635e+00 1.970602437847976762e+04 0.000000000000000000e+00
7.333570605467170367e+01 3.746881595471053816e-01 7.175829731475592332e+00 4.651891466872410952e+00 2.324897809427751483e+00 2.596340826701224458e-01 1.970650269320237567e+04 0.000000000000000000e+00
7.174727199643142228e+01 7.265904479027114338e-01 3.541750719715203832e+00 3.622402492799479568e+00 2.307082419097803871e+00 5.588210154484228198e+00 1.970706670671615211e+04 0.000000000000000000e+00
8.254844723957772601e+01 6.096250597752368439e-01 2.310977830315161796e-01 1.147019649944616759e+01 3.132359580707672730e+00 2.109672326878866855e+00 1.970722615910520472e+04 0.000000000000000000e+00
