# Mf af A2220 phi2220 logL logPrior
7.340559092474575209e+01 7.815995156540426203e-01 4.891431165521531454e+00 1.021542075681734163e+00 9.185567402833352389e+04 0.000000000000000000e+00
6.533630540997108938e+01 6.131326330218731524e-01 5.024414661883561450e+00 9.825312529570061626e-01 9.185567710580182029e+04 0.000000000000000000e+00
6.759842181561464258e+01 6.447225032720962368e-01 4.780634269779933554e+00 1.004891748710533550e+00 9.185568849851260893e+04 0.000000000000000000e+00
7.258084415414599277e+01 7.822787311432337631e-01 5.050165864470653077e+00 1.003615602545376184e+00 9.185569260499994562e+04 0.000000000000000000e+00
6.369860454873636968e+01 6.223701833951702511e-01 5.142466336640879376e+00 1.121197615731482466e+00 9.185569637995400990e+04 0.000000000000000000e+00
6.541915629924730524e+01 6.782672506729782169e-01 5.057016556310296451e+00 1.041496276257416698e+00 9.185569737291071215e+04 0.000000000000000000e+00
7.039856730186725997e+01 7.364959438463353214e-01 5.023242899053925292e+00 9.526732386278885523e-01 9.185570445601164829e+04 0.000000000000000000e+00
6.984442933162245026e+01 6.928460678700405495e-01 5.099349107821887550e+00 1.018543046161688892e+00 9.185570448119222419e+04 0.000000000000000000e+00
6.597075445958900275e+01 6.273595872867185896e-01 4.642922983453693142e+00 1.081523479261770282e+00 9.185571406058166758e+04 0.000000000000000000e+00
6.599385293358315607e+01 6.605261260379418076e-01 5.146290122994001237e+00 9.712983678293438672e-01 9.185571547312200710e+04 0.000000000000000000e+00
6.991838022450006918e+01 7.491652388584003619e-01 5.258076853014394203e+00 1.009433644052154744e+00 9.185572127202957927e+04 0.000000000000000000e+00
6.343511540302236540e+01 5.935972701624903092e-01 4.759437968175797451e+00 9.863856664786740946e-01 9.185572295746885356e+04 0.000000000000000000e+00
7.016083104510819624e+01 7.170483759775416743e-01 4.808829754026890946e+00 9.673438837662740042e-01 9.185572441421965777e+04 0.000000000000000000e+00
6.806797003028650295e+01 7.104785333893702814e-01 5.401282567235003995e+00 1.045618524125436544e+00 9.185573008578299778e+04 0.000000000000000000e+00
6.503575283490312131e+01 6.408826360715635939e-01 4.700875711727688255e+00 1.106668875624135850e+00 9.185573518843665079e+04 0.000000000000000000e+00
6.229109396648443209e+01 5.327429359648413465e-01 5.027143431899489201e+00 1.047793620082668742e+00 9.185573755324080412e+04 0.000000000000000000e+00
6.099649988151998770e+01 5.533000590878016656e-01 4.757874638034257586e+00 1.084784402938766767e+00 9.185574167495005531e+04 0.000000000000000000e+00
6.253773970119730308e+01 5.337611840300070520e-01 4.904933879160952692e+00 1.099841651853346924e+00 9.185574324474828609e+04 0.000000000000000000e+00
7.116173996841035887e+01 7.400295287620338724e-01 5.319779294837773342e+00 1.013195484890466735e+00 9.185575252783225733e+04 0.000000000000000000e+00
7.015928606338047757e+01 7.298372006068919449e-01 5.379383096320697888e+00 1.087600543335099701e+00 9.185575802385267161e+04 0.000000000000000000e+00
6.321871792317221406e+01 5.608237057087217536e-01 5.056789103391476914e+00 1.019142800148606254e+00 9.185575881593114173e+04 0.000000000000000000e+00
6.025199150680353455e+01 5.157170108979621803e-01 5.002513574020304610e+00 1.087679878272388434e+00 9.185576551815074345e+04 0.000000000000000000e+00
6.211321055363289645e+01 5.634935285078127576e-01 4.649390287347162420e+00 1.096099085158789954e+00 9.185576648925083282e+04 0.000000000000000000e+00
7.374766528350974681e+01 7.856975705287304601e-01 5.103773881710736759e+00 1.003592015948344685e+00 9.185578058418951696e+04 0.000000000000000000e+00
6.111871777777587766e+01 5.280187005586580717e-01 4.699655795531860747e+00 1.110708374773928142e+00 9.185578499144867237e+04 0.000000000000000000e+00
7.062406022114082305e+01 7.091002281709913868e-01 4.884484739043061019e+00 1.004686576173046575e+00 9.185578534344624495e+04 0.000000000000000000e+00
6.731887235446156126e+01 6.654230790169539667e-01 4.983941884992802329e+00 1.132594538710601340e+00 9.185579816277697682e+04 0.000000000000000000e+00
6.538635302859239573e+01 6.242248759284728665e-01 5.027424620373320607e+00 9.725366324037733046e-01 9.185580653133966553e+04 0.000000000000000000e+00
6.730524158104907428e+01 6.457293492342430774e-01 4.766858618488363675e+00 1.084197701538119007e+00 9.185583846010126581e+04 0.000000000000000000e+00
7.010561550825958932e+01 7.287535584956034151e-01 5.357778028662178116e+00 1.080710321435356169e+00 9.185584573917467787e+04 0.000000000000000000e+00
6.273087586073982891e+01 5.602091392406521875e-01 4.660384672711455956e+00 1.028319829252273054e+00 9.185586386984576529e+04 0.000000000000000000e+00
6.862711528905373370e+01 6.702818951791661428e-01 4.926544111264714587e+00 9.935403108257351290e-01 9.185587249278565287e+04 0.000000000000000000e+00
6.717267076449473961e+01 6.450136452501360473e-01 5.153628960628121369e+00 1.095068957497751683e+00 9.185587445793577353e+04 0.000000000000000000e+00
6.212522939332606597e+01 5.430270961759470216e-01 4.730634256043777519e+00 1.004842938898347526e+00 9.185588004703487968e+04 0.000000000000000000e+00
6.515782008950505144e+01 6.503670071792230223e-01 5.283922549245074762e+00 1.015751357712805891e+00 9.185589099430482020e+04 0.000000000000000000e+00
6.389199601387912253e+01 5.720499932636371465e-01 4.763172269438885387e+00 1.102403495934670907e+00 9.185589752581143694e+04 0.000000000000000000e+00
6.461234319454001707e+01 5.981277498345308752e-01 5.246951084058453674e+00 1.073227838970705950e+00 9.185590045960819407e+04 0.000000000000000000e+00
7.176323548859896562e+01 7.627514819809197988e-01 4.873465857881341456e+00 1.062819531996868516e+00 9.185590052329741593e+04 0.000000000000000000e+00
6.567747952616618079e+01 6.039950408186193220e-01 5.068935334268430459e+00 1.055062863744522517e+00 9.185591954124174663e+04 0.000000000000000000e+00
6.060151960074297506e+01 5.175915317084385237e-01 4.773676260777753200e+00 1.104015314913517454e+00 9.185593487377729616e+04 0.000000000000000000e+00
6.337616789515784177e+01 6.151502946420845941e-01 5.235529381284687034e+00 1.082826424996894632e+00 9.185596128945256351e+04 0.000000000000000000e+00
6.800123016897586581e+01 6.863718131501369557e-01 4.732408787793829674e+00 1.100093354959502001e+00 9.185597667639747669e+04 0.000000000000000000e+00
6.017304072895525024e+01 4.831423991136331586e-01 4.819409797411689844e+00 1.082910501615057530e+00 9.185599421582069772e+04 0.000000000000000000e+00
6.899293890010898167e+01 6.994095860884248506e-01 4.712450413244322789e+00 1.082857386985246251e+00 9.185599889842559060e+04 0.000000000000000000e+00
6.934698166838832378e+01 7.142908850458140613e-01 4.969064612475901477e+00 9.540635798318174432e-01 9.185602682251077204e+04 0.000000000000000000e+00
6.227794286606238927e+01 5.841549372714723853e-01 4.996885303814880608e+00 1.122954311106627356e+00 9.185602756911027245e+04 0.000000000000000000e+00
7.319100427614982607e+01 7.685973779625603353e-01 5.157557446149085401e+00 1.045377323871236497e+00 9.185604105392782367e+04 0.000000000000000000e+00
7.123881788557281425e+01 7.550572569694226077e-01 5.213858933459433409e+00 9.786439871048152606e-01 9.185604211622681760e+04 0.000000000000000000e+00
6.521226963675155730e+01 6.092072638924638239e-01 5.203607810630635377e+00 1.092320485887152692e+00 9.185604760054501821e+04 0.000000000000000000e+00
7.221102311432257181e+01 7.429620284966909072e-01 5.033547964266797514e+00 1.014047537019102219e+00 9.185605266519183351e+04 0.000000000000000000e+00
6.611646590437639759e+01 6.291461713021890834e-01 5.265665339806361089e+00 1.060865956195228277e+00 9.185606750736411777e+04 0.000000000000000000e+00
6.512405864073284079e+01 6.101132190372295927e-01 4.926094959062210954e+00 9.837276087577137007e-01 9.185606859522851300e+04 0.000000000000000000e+00
