# Mf af A2220 phi2220 logL logPrior
9.905262896555765906e+01 4.228194250878222760e-01 1.825038248935223484e+00 1.941044974003044432e+00 9.109125331313021888e+04 0.000000000000000000e+00
6.237517548694218306e+01 3.780035563350034877e-01 6.773021174011329748e+00 2.026358708063090486e+00 9.109897934957606776e+04 0.000000000000000000e+00
9.858478126796040897e+01 5.750951141720489490e-01 1.716196741066225995e+00 3.473268359419491969e+00 9.110686244382023870e+04 0.000000000000000000e+00
5.659021810831742272e+01 7.455354748177008828e-01 3.047132801036708027e+00 3.468432607617156105e+00 9.111042268881238124e+04 0.000000000000000000e+00
9.658305747498494043e+01 7.625011802702867936e-01 4.841016353902235281e+00 1.750443024608854259e+00 9.111273062760011817e+04 0.000000000000000000e+00
8.418573193558275136e+01 7.373977403868994251e-01 6.185094946435283347e+00 1.910863053931279865e+00 9.111539873448421713e+04 0.000000000000000000e+00
5.231033172241014739e+01 2.636496977578935419e-01 5.387433197345705693e+00 5.917025584035351393e+00 9.115169139413758239e+04 0.000000000000000000e+00
6.602103845940288807e+01 4.444849722474986664e-01 1.895774548835706064e+00 5.074846691051302372e+00 9.118994312753751001e+04 0.000000000000000000e+00
7.515608316407482903e+01 7.221808311936701585e-01 3.642217225948777060e+00 2.411571600753550815e+00 9.119600405315206444e+04 0.000000000000000000e+00
7.459915557463003211e+01 5.018512893704167865e-01 6.447374969130340361e+00 1.663021840251529326e+00 9.120757504100435472e+04 0.000000000000000000e+00
6.831089851775469413e+01 4.938148139220854826e-01 9.537439921860256797e-01 3.187189528619989609e+00 9.124350050335926062e+04 0.000000000000000000e+00
5.875106565313766538e+01 3.488425045812541536e-01 2.326862580003667080e+00 5.470359308512174223e+00 9.124367794563983625e+04 0.000000000000000000e+00
8.695271398169043664e+01 7.324813489331223337e-01 9.925935836927556322e-01 4.440612415943296476e+00 9.125538603586089448e+04 0.000000000000000000e+00
6.746877125878920367e+01 8.079132553661146909e-01 6.629170402211161495e+00 2.204129794714677626e+00 9.126397768457340135e+04 0.000000000000000000e+00
9.564223799548646809e+01 5.870348812362432556e-01 5.619957107264775154e+00 6.243674884573811035e+00 9.126824200138755259e+04 0.000000000000000000e+00
